drug	phenotype	max_phase_for_ind
CHEMBL3	D014029	Not Applicable
CHEMBL3	D016540	3
CHEMBL193	D047928	3
CHEMBL1428	D007246	2
CHEMBL1200689	D006333	2
CHEMBL1200689	D016773	3
CHEMBL730	D010146	4
CHEMBL730	D020521	4
CHEMBL2097081	D006973	Not Applicable
CHEMBL1743048	D015451	4
CHEMBL2095222	D020521	2
CHEMBL1680	D003930	3
CHEMBL1201836	D015451	4
CHEMBL1201836	D008223	2
CHEMBL715	D001714	Not Applicable
CHEMBL715	D001068	3
CHEMBL1200692	D006973	4
CHEMBL605846	D029424	4
CHEMBL1201589	D014581	Not Applicable
CHEMBL1503	D007172	1
CHEMBL1503	D005764	Not Applicable
CHEMBL46	D007863	1
CHEMBL46	D009325	4
CHEMBL46	D009771	2
CHEMBL46	D020250	4
CHEMBL175247	D011085	2
CHEMBL568	D001007	4
CHEMBL1068	D004827	4
CHEMBL1068	D012640	4
CHEMBL1342	D001068	2
CHEMBL1342	D005356	3
CHEMBL656	D010146	4
CHEMBL963	D010146	4
CHEMBL1228	D012216	4
CHEMBL395429	D002659	3
CHEMBL395429	D006470	4
CHEMBL395429	D011225	1
CHEMBL428647	D001943	Not Applicable
CHEMBL428647	D013274	3
CHEMBL428647	D008545	3
CHEMBL428647	D002289	4
CHEMBL1621	D001714	4
CHEMBL1201827	D015179	Not Applicable
CHEMBL1502	D005764	Not Applicable
CHEMBL2108078	D010024	Not Applicable
CHEMBL477772	D012509	4
CHEMBL1201560	D019694	4
CHEMBL1201560	D019698	4
CHEMBL1201560	D006526	3
CHEMBL1201560	D015658	3
CHEMBL1201561	D019694	3
CHEMBL1201561	D019698	4
CHEMBL628	D051436	3
CHEMBL1214124	D004827	4
CHEMBL1214124	D012640	4
CHEMBL1574	D009765	Not Applicable
CHEMBL16	D004827	Not Applicable
CHEMBL1200686	D003876	4
CHEMBL595	D065626	2
CHEMBL527	D020370	2
CHEMBL18442	D006086	1
CHEMBL131	D015508	4
CHEMBL131	D009404	4
CHEMBL131	D001172	4
CHEMBL635	D009298	3
CHEMBL635	D017565	3
CHEMBL635	D001172	Not Applicable
CHEMBL635	D012585	3
CHEMBL635	D014890	3
CHEMBL1059	D005356	4
CHEMBL1059	D010523	3
CHEMBL1059	D010146	3
CHEMBL1059	D004828	3
CHEMBL1059	D012148	3
CHEMBL1059	D012640	4
CHEMBL103	D007246	3
CHEMBL103	D047928	3
CHEMBL526	D007938	2
CHEMBL716	D001714	Not Applicable
CHEMBL1219	D005764	Not Applicable
CHEMBL1218	D007319	4
CHEMBL1168	D001281	Not Applicable
CHEMBL1168	D051436	Not Applicable
CHEMBL1168	D006973	Not Applicable
CHEMBL1743062	D002289	4
CHEMBL1201825	D008268	Not Applicable
CHEMBL1201825	D003930	4
CHEMBL1201825	D012164	2
CHEMBL1790041	D010437	4
CHEMBL1404	D002311	2
CHEMBL3559672	D006973	4
CHEMBL1946170	D015179	4
CHEMBL1643	D015470	2
CHEMBL1643	D019698	4
CHEMBL1643	D006526	3
CHEMBL1201830	D006073	3
CHEMBL744	D013313	1
CHEMBL923	D010024	Not Applicable
CHEMBL85	D001714	Not Applicable
CHEMBL85	D011618	4
CHEMBL1201576	D006086	3
CHEMBL1201576	D015673	3
CHEMBL1201576	D006689	Not Applicable
CHEMBL1201576	D008223	3
CHEMBL1201576	D015433	3
CHEMBL1201576	D008224	3
CHEMBL1201576	D008228	Not Applicable
CHEMBL1201576	D001172	Not Applicable
CHEMBL1201576	D008180	3
CHEMBL1201576	D012595	2
CHEMBL198362	D001281	Not Applicable
CHEMBL198362	D020246	Not Applicable
CHEMBL193240	D001987	3
CHEMBL193240	D029424	4
CHEMBL193240	D065626	2
CHEMBL1201832	D006470	4
CHEMBL121	D015658	2
CHEMBL1496	D052439	3
CHEMBL1496	D006937	Not Applicable
CHEMBL1303	D005356	2
CHEMBL1201754	D012640	4
CHEMBL1263	D029424	4
CHEMBL1201670	D003424	3
CHEMBL3039582	D050500	1
CHEMBL972	D014029	Not Applicable
CHEMBL1200694	D009765	3
CHEMBL192	D008268	2
CHEMBL192	D007172	4
CHEMBL192	D020521	1
CHEMBL24778	D011470	4
CHEMBL1064	D029424	3
CHEMBL1064	D052439	4
CHEMBL1064	D006937	Not Applicable
CHEMBL413	D054198	2
CHEMBL413	D007674	1
CHEMBL1422	D003920	4
CHEMBL1201621	D005317	3
CHEMBL1336	D006528	4
CHEMBL1336	D055752	2
CHEMBL1393	D051436	Not Applicable
CHEMBL1393	D006333	Not Applicable
CHEMBL1393	D006973	Not Applicable
CHEMBL535	D002289	3
CHEMBL535	D002292	4
CHEMBL1083659	D007319	4
CHEMBL779	D011470	Not Applicable
CHEMBL779	D007172	4
CHEMBL83	D001943	Not Applicable
CHEMBL83	D018567	3
CHEMBL836	D011470	Not Applicable
CHEMBL1201776	D010146	4
CHEMBL1657	D000152	4
CHEMBL1657	D011565	Not Applicable
CHEMBL1017	D006973	Not Applicable
CHEMBL1201182	D008223	3
CHEMBL1201182	D009190	2
CHEMBL1201182	D002292	4
CHEMBL1201182	D001172	2
CHEMBL525610	D050723	3
CHEMBL525610	D010024	Not Applicable
CHEMBL525610	D015663	4
CHEMBL386630	D006333	Not Applicable
CHEMBL386630	D011471	Not Applicable
CHEMBL386630	D012735	3
CHEMBL2107067	D012735	2
CHEMBL190	D029424	4
CHEMBL190	D008173	
CHEMBL727	D008228	1
CHEMBL479	D011618	4
CHEMBL1201533	D013964	4
CHEMBL398435	D054058	4
CHEMBL398435	D009203	Not Applicable
CHEMBL1201414	D015179	3
CHEMBL1900528	D029424	4
CHEMBL1237022	D001171	4
CHEMBL1237022	D001172	4
CHEMBL1237022	D012595	4
CHEMBL221959	D001172	Not Applicable
CHEMBL1324	D014029	Not Applicable
CHEMBL344159	D002277	2
CHEMBL220492	D019970	3
CHEMBL220492	D004827	4
CHEMBL84	D007938	2
CHEMBL1237044	D010146	4
CHEMBL877	D006470	4
CHEMBL877	D006620	3
CHEMBL1201585	D000230	Not Applicable
CHEMBL1201585	D001943	Not Applicable
CHEMBL1201585	D002277	2
CHEMBL1743082	D001943	Not Applicable
CHEMBL1237119	D015427	1
CHEMBL1237119	D006976	4
CHEMBL1451	D008173	4
CHEMBL1504	D003930	2
CHEMBL1504	D005901	2
CHEMBL1201334	D011471	Not Applicable
CHEMBL1187833	D029424	4
CHEMBL1201835	D013167	3
CHEMBL1201835	D003876	2
CHEMBL1201835	D011565	Not Applicable
CHEMBL865	D010146	3
CHEMBL109	D004827	Not Applicable
CHEMBL109	D010190	2
CHEMBL109	D012640	4
CHEMBL1069	D006333	Not Applicable
CHEMBL1069	D006973	Not Applicable
CHEMBL24828	D008654	2
CHEMBL1396	D014029	Not Applicable
CHEMBL1396	D016540	3
CHEMBL373742	D012772	3
CHEMBL1743087	D003424	Not Applicable
CHEMBL1229517	D008545	4
CHEMBL637	D003866	4
CHEMBL89598	D019970	2
CHEMBL1198857	D029424	4
CHEMBL90555	D054198	3
CHEMBL473417	D002280	4
CHEMBL473417	D008527	2
CHEMBL98	D015658	2
CHEMBL98	D009101	3
CHEMBL98	D002289	2
CHEMBL1464	D001281	Not Applicable
CHEMBL93	D014029	2
CHEMBL924	D000230	1
CHEMBL924	D002583	2
CHEMBL924	D009101	4
CHEMBL924	D010001	4
CHEMBL924	D010024	4
CHEMBL924	D012516	2
CHEMBL924	D011471	4
CHEMBL750	D004827	Not Applicable
CHEMBL1201823	D013167	2
CHEMBL1201823	D003424	3
CHEMBL1201823	D014820	1
CHEMBL1201580	D003424	Not Applicable
CHEMBL1201580	D005923	2
CHEMBL1201580	D015535	4
CHEMBL477	D010146	2
CHEMBL1742982	D015179	Not Applicable
