drug	mesh_id
CHEMBL412	D005076
CHEMBL412	D005128
CHEMBL412	D015817
CHEMBL412	D005221
CHEMBL412	D005315
CHEMBL412	D005334
CHEMBL412	D005348
CHEMBL412	D005414
CHEMBL412	D005483
CHEMBL412	D005705
CHEMBL412	D005756
CHEMBL412	D005759
CHEMBL412	D005764
CHEMBL412	D005767
CHEMBL412	D006042
CHEMBL412	D006177
CHEMBL412	D006261
CHEMBL412	D006331
CHEMBL412	D006391
CHEMBL412	D006406
CHEMBL412	D006417
CHEMBL412	D010291
CHEMBL412	D006469
CHEMBL412	D006470
CHEMBL412	D006484
CHEMBL412	D006505
CHEMBL412	D054179
CHEMBL412	D006561
CHEMBL412	D006562
CHEMBL412	D006628
CHEMBL412	D006934
CHEMBL412	D006941
CHEMBL412	D006943
CHEMBL412	D006945
CHEMBL412	D006955
CHEMBL412	D006967
CHEMBL412	D006973
CHEMBL412	D006987
CHEMBL412	D006996
CHEMBL412	D007154
CHEMBL412	D007249
CHEMBL412	D007251
CHEMBL412	D007415
CHEMBL412	D007508
CHEMBL412	D007565
CHEMBL412	D041781
CHEMBL412	D010003
CHEMBL412	D007592
CHEMBL412	D007827
CHEMBL412	D013035
CHEMBL412	D053609
CHEMBL412	D019522
CHEMBL412	D008113
CHEMBL412	D059373
CHEMBL412	D008477
CHEMBL412	D008548
CHEMBL412	D008579
CHEMBL412	D008595
CHEMBL412	D008599
CHEMBL412	D008796
CHEMBL412	D009122
CHEMBL412	D059352
CHEMBL412	D009181
CHEMBL412	D009203
CHEMBL412	D054058
CHEMBL412	D009207
CHEMBL412	D009260
CHEMBL412	D009325
CHEMBL412	D009422
CHEMBL412	D009443
CHEMBL412	D009902
CHEMBL412	D010033
CHEMBL412	D010048
CHEMBL412	D010146
CHEMBL412	D010195
CHEMBL412	D010292
CHEMBL412	D017699
CHEMBL412	D010612
CHEMBL412	D010689
CHEMBL412	D011014
CHEMBL412	D011127
CHEMBL412	D011141
CHEMBL412	D011164
CHEMBL412	D011536
CHEMBL412	D011537
CHEMBL412	D011538
CHEMBL412	D018781
CHEMBL412	D011655
CHEMBL412	C537256
CHEMBL412	D011693
CHEMBL412	D012141
CHEMBL412	D012170
CHEMBL412	D012769
CHEMBL412	D012852
CHEMBL412	D012871
CHEMBL412	D010859
CHEMBL412	D012883
CHEMBL412	D020521
CHEMBL412	D013471
CHEMBL412	D017484
CHEMBL412	D014474
CHEMBL412	D013575
CHEMBL412	D013610
CHEMBL412	D013924
CHEMBL412	D013927
CHEMBL412	D014012
CHEMBL412	D014076
CHEMBL412	D014098
CHEMBL412	D014202
CHEMBL412	D014456
CHEMBL412	D004890
CHEMBL412	D014522
CHEMBL412	D014549
CHEMBL412	D014552
CHEMBL412	D014570
CHEMBL412	D014581
CHEMBL412	D007889
CHEMBL412	D014592
CHEMBL412	D014623
CHEMBL412	D014627
CHEMBL412	D014648
CHEMBL412	D014652
CHEMBL412	D014717
CHEMBL412	D014777
CHEMBL412	D014786
CHEMBL412	D014839
CHEMBL412	D014845
CHEMBL412	D014848
CHEMBL412	D015430
CHEMBL412	D014987
CHEMBL412	D013180
CHEMBL412	D008107
CHEMBL412	D000071936
CHEMBL412	D020246
CHEMBL412	D008881
CHEMBL412	D009127
CHEMBL412	D018879
CHEMBL412	D014947
CHEMBL412	D017202
CHEMBL412	D014594
CHEMBL412	D009877
CHEMBL412	D044342
CHEMBL412	D063806
CHEMBL412	D004401
CHEMBL412	C537072
CHEMBL412	D004066
CHEMBL412	D018149
CHEMBL412	D015352
CHEMBL412	C535700
CHEMBL412	D023341
CHEMBL412	D020820
CHEMBL412	D001766
CHEMBL412	D016889
CHEMBL412	D000072281
CHEMBL412	D003704
CHEMBL412	D019584
CHEMBL412	D012772
CHEMBL412	D004347
CHEMBL412	D010031
CHEMBL412	D000152
CHEMBL412	D007319
CHEMBL412	D010051
CHEMBL412	D034381
CHEMBL412	D003638
CHEMBL412	D052065
CHEMBL412	C536821
CHEMBL412	D000077260
CHEMBL16105	D000138
CHEMBL16105	D000787
CHEMBL16105	D001416
CHEMBL16105	D003681
CHEMBL16105	D003967
CHEMBL16105	D011141
CHEMBL16105	D004487
CHEMBL16105	D006967
CHEMBL16105	D007022
CHEMBL16105	D008171
CHEMBL16105	D009325
CHEMBL16105	D010146
CHEMBL16105	D012220
CHEMBL16105	D012640
CHEMBL16105	D013610
CHEMBL16105	D013894
CHEMBL16105	D014581
CHEMBL16105	D014717
CHEMBL16105	D014839
CHEMBL16105	D016055
CHEMBL16105	D023341
CHEMBL16105	D018771
CHEMBL16105	D001523
CHEMBL16105	D001986
CHEMBL16105	D001991
CHEMBL16105	D001996
CHEMBL16105	D002180
CHEMBL16105	D002177
CHEMBL16105	D002637
CHEMBL16105	D003141
CHEMBL16105	D003240
CHEMBL16105	D003371
CHEMBL16105	D003920
CHEMBL16105	D004244
CHEMBL16105	D004417
CHEMBL16105	D004433
CHEMBL16105	D004884
CHEMBL16105	D005076
CHEMBL16105	D003872
CHEMBL16105	D005221
CHEMBL16105	D001247
CHEMBL16105	D005334
CHEMBL16105	D005414
CHEMBL16105	D005764
CHEMBL16105	D005767
CHEMBL16105	D005926
CHEMBL16105	D006261
CHEMBL16105	D006333
CHEMBL16105	D006469
CHEMBL16105	D006973
CHEMBL16105	D006985
CHEMBL16105	D007010
CHEMBL16105	D008477
CHEMBL16105	D059352
CHEMBL16105	D009404
CHEMBL16105	D009422
CHEMBL16105	D010612
CHEMBL16105	D010689
CHEMBL16105	D011536
CHEMBL16105	D011537
CHEMBL16105	D011654
CHEMBL16105	D051437
CHEMBL16105	D013203
CHEMBL16105	D013280
CHEMBL16105	D013924
CHEMBL16105	D012141
CHEMBL16105	D014549
CHEMBL16105	D014522
CHEMBL16105	D014570
CHEMBL16105	D020246
CHEMBL16105	D012135
CHEMBL16105	D044342
CHEMBL16105	D012871
CHEMBL16105	D012131
CHEMBL16105	D018450
CHEMBL16105	D000860
CHEMBL16105	D020896
CHEMBL16105	D001007
CHEMBL16105	D008173
CHEMBL16105	D000152
CHEMBL16105	D009304
CHEMBL16105	D000086722
CHEMBL16105	D055154
CHEMBL1046	D015746
CHEMBL1046	D000380
CHEMBL1046	D000707
CHEMBL1046	D001778
CHEMBL1046	D003221
CHEMBL1046	D003693
CHEMBL1046	D003967
CHEMBL1046	D004244
CHEMBL1046	D004417
CHEMBL1046	D004487
CHEMBL1046	D005076
CHEMBL1046	D003872
CHEMBL1046	D006212
CHEMBL1046	D006261
CHEMBL1046	D006967
CHEMBL1046	D007022
CHEMBL1046	D007970
CHEMBL1046	D009135
CHEMBL1046	D009220
CHEMBL1046	D009325
CHEMBL1046	D009336
CHEMBL1046	D010146
CHEMBL1046	D011537
CHEMBL1046	D011655
CHEMBL1046	D051437
CHEMBL1046	D012206
CHEMBL1046	D012640
CHEMBL1046	D020521
CHEMBL1046	D014474
CHEMBL1046	D012769
CHEMBL1046	D013575
CHEMBL1046	D013921
CHEMBL1046	D013927
CHEMBL1046	D014012
CHEMBL1046	D014839
CHEMBL1046	D000075662
CHEMBL1046	D019586
CHEMBL1046	D018908
CHEMBL1046	D063806
CHEMBL1046	D001919
CHEMBL1046	D007766
CHEMBL145615	D000707
CHEMBL145615	D000799
CHEMBL145615	D001249
CHEMBL145615	D003371
CHEMBL145615	D000077260
CHEMBL145615	D004415
CHEMBL145615	D004417
CHEMBL145615	D004433
CHEMBL145615	D004487
CHEMBL145615	D005076
CHEMBL145615	D003872
CHEMBL145615	D005334
CHEMBL145615	D005483
CHEMBL145615	D005767
CHEMBL145615	D006331
CHEMBL145615	D006469
CHEMBL145615	D006967
CHEMBL145615	D007022
CHEMBL145615	D007154
CHEMBL145615	D008477
CHEMBL145615	D009325
CHEMBL145615	D010612
CHEMBL145615	D011537
CHEMBL145615	D012135
CHEMBL145615	D013280
CHEMBL145615	D006945
CHEMBL145615	D004244
CHEMBL145615	D014474
CHEMBL145615	D012769
CHEMBL145615	D013575
CHEMBL145615	D013610
CHEMBL145615	D014581
CHEMBL145615	D014652
CHEMBL145615	D014839
CHEMBL145615	D001986
CHEMBL145615	D058447
CHEMBL145615	D012871
CHEMBL145615	D004890
CHEMBL145615	D009304
CHEMBL145615	D000086722
CHEMBL78	D015746
CHEMBL78	D000505
CHEMBL78	D000707
CHEMBL78	D000740
CHEMBL78	D000749
CHEMBL78	D001007
CHEMBL78	D001100
CHEMBL78	D018771
CHEMBL78	D001247
CHEMBL78	D001416
CHEMBL78	D001523
CHEMBL78	D002481
CHEMBL78	D009422
CHEMBL78	D002526
CHEMBL78	D019547
CHEMBL78	D002637
CHEMBL78	D003128
CHEMBL78	D003141
CHEMBL78	D003221
CHEMBL78	D003231
CHEMBL78	D003240
CHEMBL78	D003248
CHEMBL78	D003288
CHEMBL78	D003371
CHEMBL78	D003560
CHEMBL78	D003638
CHEMBL78	D003680
CHEMBL78	D003681
CHEMBL78	D003863
CHEMBL78	D003967
CHEMBL78	D004244
CHEMBL78	D004417
CHEMBL78	D004487
CHEMBL78	D004941
CHEMBL78	D005076
CHEMBL78	D003872
CHEMBL78	D005128
CHEMBL78	D005221
CHEMBL78	D005334
CHEMBL78	D008548
CHEMBL78	D005767
CHEMBL78	D006471
CHEMBL78	D020275
CHEMBL78	D006261
CHEMBL78	D006331
CHEMBL78	D006332
CHEMBL78	D006402
CHEMBL78	D006429
CHEMBL78	D006470
CHEMBL78	D006484
CHEMBL78	D006849
CHEMBL78	D006932
CHEMBL78	D006943
CHEMBL78	D006967
CHEMBL78	D006973
CHEMBL78	D006987
CHEMBL78	D006996
CHEMBL78	D007008
CHEMBL78	D007010
CHEMBL78	D007022
CHEMBL78	D007159
CHEMBL78	D007154
CHEMBL78	D007249
CHEMBL78	D007565
CHEMBL78	D007634
CHEMBL78	D058186
CHEMBL78	D053609
CHEMBL78	D007970
CHEMBL78	D008100
CHEMBL78	D008477
CHEMBL78	D008580
CHEMBL78	D008581
CHEMBL78	D009325
CHEMBL78	D009443
CHEMBL78	D009503
CHEMBL78	D010146
CHEMBL78	D010195
CHEMBL78	D010264
CHEMBL78	D010292
CHEMBL78	D010493
CHEMBL78	D010538
CHEMBL78	D011014
CHEMBL78	D011127
CHEMBL78	D011537
CHEMBL78	D011618
CHEMBL78	D011654
CHEMBL78	D012021
CHEMBL78	D012128
CHEMBL78	D012206
CHEMBL78	D012640
CHEMBL78	D012883
CHEMBL78	D020335
CHEMBL78	D013118
CHEMBL78	D014474
CHEMBL78	D012769
CHEMBL78	D013575
