drug	target
CHEMBL3989914	ENSG00000105976
CHEMBL1607	ENSG00000184428
CHEMBL84	ENSG00000184428
CHEMBL1201834	ENSG00000125538
CHEMBL3990031	ENSG00000146374
CHEMBL3990031	ENSG00000205213
CHEMBL107367	ENSG00000132170
CHEMBL1742999	ENSG00000108691
CHEMBL3182444	ENSG00000087586
CHEMBL3545196	ENSG00000197122
CHEMBL49120	ENSG00000197122
CHEMBL1200853	ENSG00000082175
CHEMBL1567	ENSG00000165731
CHEMBL535	ENSG00000165731
CHEMBL779	ENSG00000138735
CHEMBL4297216	ENSG00000096968
CHEMBL1287853	ENSG00000096968
CHEMBL522892	ENSG00000122025
CHEMBL1200733	ENSG00000169427
CHEMBL501867	ENSG00000188229
CHEMBL501867	ENSG00000101162
CHEMBL501867	ENSG00000198033
CHEMBL501867	ENSG00000127824
CHEMBL501867	ENSG00000258947
CHEMBL501867	ENSG00000167552
CHEMBL501867	ENSG00000104833
CHEMBL501867	ENSG00000261456
CHEMBL501867	ENSG00000196230
CHEMBL501867	ENSG00000123416
CHEMBL501867	ENSG00000167553
CHEMBL501867	ENSG00000152086
CHEMBL501867	ENSG00000137267
CHEMBL501867	ENSG00000137285
CHEMBL501867	ENSG00000176014
CHEMBL90555	ENSG00000188229
CHEMBL90555	ENSG00000101162
CHEMBL90555	ENSG00000198033
CHEMBL90555	ENSG00000127824
CHEMBL90555	ENSG00000258947
CHEMBL90555	ENSG00000167552
CHEMBL90555	ENSG00000104833
CHEMBL90555	ENSG00000261456
CHEMBL90555	ENSG00000196230
CHEMBL90555	ENSG00000123416
CHEMBL90555	ENSG00000167553
CHEMBL90555	ENSG00000152086
CHEMBL90555	ENSG00000137267
CHEMBL90555	ENSG00000137285
CHEMBL90555	ENSG00000176014
CHEMBL2178570	ENSG00000163823
CHEMBL4297066	ENSG00000148154
CHEMBL2110588	ENSG00000148154
CHEMBL1200787	ENSG00000120907
CHEMBL1200787	ENSG00000150594
CHEMBL1200787	ENSG00000184160
CHEMBL1200787	ENSG00000171873
CHEMBL1200787	ENSG00000170214
CHEMBL1200787	ENSG00000274286
CHEMBL753	ENSG00000120907
CHEMBL753	ENSG00000150594
CHEMBL753	ENSG00000184160
CHEMBL753	ENSG00000171873
CHEMBL753	ENSG00000170214
CHEMBL753	ENSG00000274286
CHEMBL4297838	ENSG00000239732
CHEMBL3545332	ENSG00000165731
CHEMBL371064	ENSG00000143387
CHEMBL2109253	ENSG00000198851
CHEMBL1695	ENSG00000157103
CHEMBL1027	ENSG00000157103
CHEMBL4297260	ENSG00000125730
CHEMBL4297213	ENSG00000258839
CHEMBL441738	ENSG00000258839
CHEMBL4594440	ENSG00000123454
CHEMBL1200648	ENSG00000138435
CHEMBL1200648	ENSG00000196811
CHEMBL1200648	ENSG00000170175
CHEMBL1200648	ENSG00000135902
CHEMBL1200648	ENSG00000108556
CHEMBL1201244	ENSG00000138435
CHEMBL1201244	ENSG00000196811
CHEMBL1201244	ENSG00000170175
CHEMBL1201244	ENSG00000135902
CHEMBL1201244	ENSG00000108556
CHEMBL1795071	ENSG00000162434
CHEMBL1789941	ENSG00000162434
CHEMBL4297627	ENSG00000198400
CHEMBL4297627	ENSG00000148053
CHEMBL4297627	ENSG00000140538
CHEMBL1201657	ENSG00000117601
CHEMBL802	ENSG00000187486
CHEMBL802	ENSG00000069431
CHEMBL1614766	ENSG00000169032
CHEMBL3545413	ENSG00000097007
CHEMBL3544955	ENSG00000112742
CHEMBL1201520	ENSG00000170820
CHEMBL426084	ENSG00000112038
CHEMBL3707328	ENSG00000110680
CHEMBL3707328	ENSG00000175868
CHEMBL3545156	ENSG00000171105
CHEMBL4297423	ENSG00000204256
CHEMBL4297423	ENSG00000141867
CHEMBL4297423	ENSG00000137948
CHEMBL4297423	ENSG00000169925
CHEMBL2109662	ENSG00000163217
CHEMBL4650522	ENSG00000137252
CHEMBL4650522	ENSG00000121764
CHEMBL1668	ENSG00000165646
CHEMBL593430	ENSG00000196557
CHEMBL593430	ENSG00000153956
CHEMBL593430	ENSG00000151067
CHEMBL593430	ENSG00000157445
CHEMBL593430	ENSG00000081248
CHEMBL593430	ENSG00000007402
CHEMBL593430	ENSG00000157388
CHEMBL593430	ENSG00000141837
CHEMBL593430	ENSG00000148408
CHEMBL593430	ENSG00000006283
CHEMBL593430	ENSG00000151062
CHEMBL593430	ENSG00000100346
CHEMBL593430	ENSG00000102001
CHEMBL593430	ENSG00000198216
CHEMBL593430	ENSG00000182389
CHEMBL593430	ENSG00000165995
CHEMBL593430	ENSG00000067191
CHEMBL593430	ENSG00000167535
CHEMBL593430	ENSG00000105605
CHEMBL593430	ENSG00000075429
CHEMBL593430	ENSG00000166862
CHEMBL593430	ENSG00000075461
CHEMBL593430	ENSG00000142408
CHEMBL593430	ENSG00000006116
CHEMBL593430	ENSG00000130433
CHEMBL593430	ENSG00000108878
CHEMBL3545131	ENSG00000004468
CHEMBL1743047	ENSG00000146648
CHEMBL2107572	ENSG00000036828
CHEMBL292376	ENSG00000036828
CHEMBL3989401	ENSG00000160752
CHEMBL834	ENSG00000160752
CHEMBL4297750	ENSG00000091879
CHEMBL504652	ENSG00000160716
CHEMBL504652	ENSG00000101204
CHEMBL1743008	ENSG00000120889
CHEMBL2103829	ENSG00000112038
CHEMBL2048028	ENSG00000005844
CHEMBL2048028	ENSG00000160255
CHEMBL2108296	ENSG00000169047
CHEMBL1201668	ENSG00000169418
CHEMBL2109346	ENSG00000160255
